Situation,Location,Date Reported,Incident/Case#,Date Occured,Time Occured,Summary,Disposition
"Medical Aid
","Bonner Hall
","2/28/2024
","2402280058
","2/28/2024
","3:05 PM
","Passerby advised, older adult male inside vehicle, not feeling well
","Referred to Other Agency ‐ San Diego Fire Department
"
"Injury
","Parking Lot P206
","2/28/2024
","2402280059
","2/28/2024
","3:27 PM
","Older adult male fell and sustained head injury
","Referred to Other Agency ‐ San Diego Fire Department
"
"Petty Theft ‐ Micro Mobility Device
","Exploration Drive
","2/28/2024
","2024‐0459
","2/28/2024
","10:00 AM ‐ 3:00 PM
","Secured electric scooter stolen, loss $220.00
","Online Report
"
"Welfare Check
","Brown Hall
","2/28/2024
","2402280063
","2/28/2024
","4:26 PM
","Student having suicidal ideations
","Transported to Hospital
"
"Citizen Contact
","El Paseo Grande
","2/28/2024
","2402280065
","2/28/2024
","4:31 PM
","Reporting party requesting to speak to officer regarding threatening text messages from former
","Service Provided
"
"Vandalism
","Gilman Dr
","2/28/2024
","2024‐0460
","2/27/2024 ‐ 2/28/2024
","11:00 PM ‐ 2:45 PM
","Electric bicycle lock tampered with, cost of damage $1,200.00
","Online Report
"
"Battery ‐ Simple
","UCSD Medical Center ‐ Hillcrest
","2/28/2024
","2402280066
","2/28/2024
","4:51 PM
","Patient bit nurse and spat on another staff member
","Information Only
"
"False ID to Police Officer
","Trolley ‐ Central Campus Station
","2/28/2024
","2024‐0453
","2/28/2024
","5:16 PM
","Female non‐affiliate falsely identified herself after being contacted during a trolley enforcement
","Closed By Citation, Adult
"
"Armed Suspicious Person
","Genesee Avenue/ Campus Point Drive
","2/28/2024
","2402280070
","2/28/2024
","5:32 PM
","Male wearing samurai sword sheath on back
","Unable to Locate
"
"Report ‐ Crime Against Property
","Ridge Walk Academic Building
","2/28/2024
","2024‐0454
","2/28/2024
","5:53 PM
","Protest stickers placed inside two different elevators
","Report Taken
"
"Medical Aid
","Moores Cancer Center
","2/28/2024
","2402280073
","2/28/2024
","6:32 PM
","Medical transport
","Referred to Other Agency ‐ San Diego Fire Department
"
"Fire Alarm
","Miramar Street
","2/28/2024
","2402280075
","2/28/2024
","6:32 PM
","Burnt food
","Referred o Other UCSD Department ‐ Housing Maintenance
"
"Citizen Flagdown
","Trolley ‐ Central Campus Station
","2/28/2024
","2402280077
","2/28/2024
","7:17 PM
","Subject with questions regarding trolley
","Service Provided
"
"Vandalism
","Gilman Drive / Interstate 5 Overpas Bridge
","2/28/2024
","2024‐0456
","2/28/2024
","7:55 PM ‐ 8:02 PM
","Unknown suspect vandalized two bridge walls with spray paint, damage $50.00
","Report Taken
"
"Extortion
","Middle East Hall
","2/28/2024
","2402280080
","2/28/2024
","8:51 PM
","Subject threatening to release explicit photos
","Service Provided
"
"Carjacking
","Trolley ‐ Nobel Drive Station
","2/28/2024
","2402280083
","2/28/2024
","9:29 PM
",,"Referred to Other Agency ‐ San Diego Police Department
"
"Suspicious Person
","Trolley ‐ Nobel Drive Station
","2/28/2024
","2402280085
","2/28/2024
","9:55 PM
","Adult male with bandana covering his face,
","Unable to Locate
"
"Noise Disturbance
","Cala
","2/28/2024
","2402280087
","2/28/2024
","10:20 PM
",,"Quiet On Arrival
"
"Quiet Hours Contact
","Neighborhood ‐ NTPLL (Basketball Courts)
","2/28/2024
","2402280088
","2/28/2024
","10:29 PM
",,"Will Cooperate
"
"Suspicious Person
","Geisel Library
","2/28/2024
","2402280090
","2/28/2024
","10:33 PM
","Reporting party was chased by another individual
","Unable to Locate
"
"Noise Disturbance
","Piedra
","2/28/2024
","2402280092
","2/28/2024
","10:38 PM
",,"Cancelled
"
"Welfare Check
","Epstein Family Amphitheater
","2/28/2024
","2402280094
","2/28/2024
","10:42 PM
","Female lying down at table, complaint of swelling in legs
","Referred to Other Agency ‐ San Diego Fire Department
"
"Quiet Hours Contact
","Neighborhood ‐ Warren
","2/28/2024
","2402280097
","2/28/2024
","10:57 PM
",,"Will Cooperate
"
"Noise Disturbance
","Europe Hall
","2/28/2024
","2402280099
","2/28/2024
","11:49 PM
",,"Referred to Student Conduct
"
"Fire Alarm
","UCSD Medical Facility ‐ Hillcrest
","2/28/2024
","HC24‐02‐27‐0196
","2/28/2024
","1:24 PM
","Bunt popcorn in microwave
","False Alarm
"
"Suspicious Person
","John's Place and Market
","3/19/2024
","2403190001
","3/19/2024
","12:07 AM
","""Male rolling joints"" at location
","Field Interview
"
"Medical Aid
","Nobel Drive
","3/19/2024
","2403190013
","3/19/2024
","7:11 AM
",,"Referred to Other Agency - San Diego Fire Department
"
"Incomplete/ Accidental Wireless 911 Call
","Tioga Hall
","3/19/2024
","2403190019
","3/19/2024
","8:39 AM
",,"Logged Event
"
"Non Injury Collision
","Robert Paine Scripps Forum
","3/19/2024
","2403190022
","3/19/2024
","9:00 AM
",,"Service Provided
"
"Incomplete/ Accidental Wireless 911 Call
","UC San Diego
","3/19/2024
","2403190028
","3/19/2024
","10:08 AM
",,"Logged Event
"
"Incomplete/ Accidental Wireless 911 Call
","Holiday Court
","3/19/2024
","2403190032
","3/19/2024
","11:04 AM
",,"Logged Event
"
"Medical Aid
","Koman Family Patient Pavilion
","3/19/2024
","2403190033
","3/19/2024
","11:06 AM
","Medical transport
","Referred to Other Agency - San Diego Fire Department
"
"Medical Aid
","Shiley Eye Institute
","3/19/2024
","2403190038
","3/19/2024
","12:06 PM
","Patient showing signs of stroke
","Referred to Other Agency - San Diego Fire Department
"
"Citizen Contact
","Student Health & Wellness Center
","3/19/2024
","2403190041
","Unknown
",,"Report of suspicious injury that occurred a month ago
","Information Only
"
"Medical Aid
","Charles David Keeling Apartments
","3/19/2024
","2403190042
","3/19/2024
","12:49 PM
","Young adult female experiencing chest pains and feeling light headed
","Referred to Other Agency - San Diego Fire Department
"
"Traffic Hazard
","Interstate 5 Southbound/Genesee Avenue
","3/19/2024
","2403190043
","3/19/2024
","1:11 PM
","Via 911; report of ladder in southbound lanes
","Referred to Other Agency - California Highway Patrol
"
"Citizen Contact
","Greenhouse Lane
","3/19/2024
","2403190045
","3/19/2024
","1:40 PM
","Questions regarding fix it ticket
","Service Provided
"
"Incomplete/ Accidental Wireless 911 Call
","Genesee Avenue
","3/19/2024
","2403190046
","3/19/2024
","2:34 PM
",,"Logged Event
"
"Petty Theft - Micro Mobility Device
","Recreation Gymnasium
","3/19/2024
","2024-0587
","3/19/2024
","10:30 AM - 2:45 PM
","Secured electric scooter stolen, loss $220.00
","Report Taken
"
"Missing Vehicle
","Callan Road
","3/19/2024
","2403190049
","3/19/2024
","3:27 PM
",,"Referred to Other Agency - San Diego Police Department
"
"Medical Aid
","Genesee Avenue
","3/19/2024
","2403190051
","3/19/2024
","3:56 PM
",,"Referred to Other Agency - San Diego Fire Department
"
"Petty Theft
","Center Hall
","3/19/2024
","2024-0614
","3/16/2024 - 3/19/2024
","1:00 PM - 4:25 PM
","Secured bicycle stolen, loss $300.00
","Online Report
"
"Petty Theft
","Mosaic
","3/19/2024
","2024-0590
","3/15/2024 - 3/16/2024
","6:00 PM - 12:00 PM
","Stolen crafting clay, loss $50.00
","Report Taken
"
"Incomplete/ Accidental Wireless 911 Call
","North Torrey Pines Road
","3/19/2024
","2403190057
","3/19/2024
","6:18 PM
",,"Logged Event
"
"Annoying/ Harassing Phone Call
","One Miramar Street, Building 1
","3/19/2024
","2024-0589
","2/19/2024 - 3/19/2024
","8:00 AM - 8:00 PM
","Known suspect to victim has sent several text messages, emails, repeated phone calls, and sent
","Report Taken
"
"Hit & Run Collision: Non Injury
","Pangea Parking
","3/19/2024
","2403190059
","3/19/2024
","5:00 PM
","Per reporting party, other motorist refusing to provide information, no report desired at this
","Information Only
"
"Suspicious Injury Report
","Unknown Location, San Diego, Ca
","3/19/2024
","2024-0588
","2/07/2024 - 2/21/2024
","12:00 AM - 11:59 PM
","Report of oral copulation without consent at off campus party
","Referred to Other Agency - San Diego Police Department
"
"Noise Disturbance
","Brown Hall - Basketball Courts
","3/19/2024
","2403190061
","3/19/2024
","8:03 PM
","People yelling
","Referred to Student Conduct
"
"Grand Theft
","East Campus Office Building
","3/18/2024
","2024-0591
","3/19/2024
","11:30 AM - 3:45 PM
","Secured bicycle stolen, loss $2,500.00
","Report Taken
"
"Injury
","Applied Physics & Mathematics
","3/18/2024
","2024-0592
","3/18/2024
","9:02 PM - 9:52 PM
","Female fell while riding her electric scooter
","Report Taken
"
"Reckless Driving
","Torrey Pines Rd/ North Torrey Pines Rd
","3/18/2024
","2403190065
","3/18/2024
","10:01 PM
","Vehicles street racing
","Referred to Other Agency - San Diego Police Department
"
"Security Alarm
","Leichtag Family Foundation
","3/19/2024
","2403190066
","3/19/2024
","10:05 PM
",,"False Alarm
"
"Reckless Driving
","Interstate 5 Southbound
","3/19/2024
","2403190067
","3/19/2024
","10:05 PM
",,"Referred to Other Agency - California Highway Patrol
"
"Suspicious Person
","Student Services Center
","3/19/2024
","2403190070
","3/19/2024
","10:34 PM
",,"Cancelled
"
"Quiet Hours Contact
","Revelle Plaza
","3/19/2024
","2403190072
","3/19/2024
","11:43 PM
","Students playing volleyball
","Will Cooperate
"
"Security Alarm
","Otterson Hall
","3/8/2024
","2403080007
","3/8/2024
","1:07 AM
",,"False Alarm
"
"Noise Disturbance
","Stewart Hall
","3/8/2024
","2403080009
","3/8/2024
","2:25 AM
","Loud music
","Quiet On Arrival
"
"Welfare Check
","Hopkins Parking
","3/8/2024
","2403080011
","3/8/2024
","3:03 AM
","Male in bushes asking for help
","Transported to Hospital
"
"Suspicious Person
","Scholars Drive S
","3/8/2024
","2403080016
","3/8/2024
","6:32 AM
","Unknown subject banging on the reporting party's door
","Cancelled
"
"Security Alarm
","Scholars Drive N
","3/8/2024
","2403080017
","3/8/2024
","6:44 AM
",,"False Alarm
"
"Welfare Check
","Moores Cancer Center
","3/8/2024
","2403080024
","3/8/2024
","8:29 AM
","Reporting party advised subject has been having multiple manic episodes, recently
","Information Only
"
"Non Injury Collision
","Gilman Parking
","3/8/2024
","2403080025
","3/8/2024
","8:31 AM
",,"Service Provided
"
"Incomplete/ Accidental Landline 911 Call
","Scholars Drive North
","3/8/2024
","2403080028
","3/8/2024
","8:55 AM
",,"Logged Event
"
"Vandalism
","Matthews Lane
","3/8/2024
","2403080033
","3/1/2024
","Unknown
","Per reporting party, unknown subject entered their unit and damaged a telescope
","Information Only
"
"Animal Call
","Gilman Parking
","3/8/2024
","2403080034
","3/8/2024
","9:35 AM
","Dog left inside vehicle
","Service Provided
"
"Incomplete/ Accidental Wireless 911 Call
","Mesa Apartments South
","3/8/2024
","2403080040
","3/8/2024
","11:20 AM
",,"Logged Event
"
"Hit and Run ‐ Non Injury Collision
","Parking Lot P784
","3/8/2024
","2024‐0507
","3/7/2024
","8:20 AM ‐ 5:10 PM
",,"Report Taken
"
"Hit and Run ‐ Non Injury Collision
","Parking Lot P357
","3/8/2024
","2403080046
","3/8/2024
","12:28 PM
",,"Service Provided
"
"Citizen Contact
","UCSD Police Department
","3/8/2024
","2403080053
","3/8/2024
","1:42 PM
","Property pick‐up
","Service Provided
"
"Incomplete/ Accidental Landline 911 Call
","Miramar Street
","3/8/2024
","2403080055
","3/8/2024
","1:57 PM
",,"Logged Event
"
"Fire
","Trolley ‐ Central Campus Station
","3/8/2024
","2403080059
","3/8/2024
","2:54 PM
","Smoke coming from trash bin
","Referred to Other Agency ‐ San Diego Fire Department & Metropolitan Transit Systems
"
"Hit and Run ‐ Non Injury Collision
","Parking Lot P003
","3/8/2024
","2024‐0508
","3/7/2024
","9:00 AM ‐ 3:30 PM
",,"Report Taken
"
"Non Injury Collision
","UCSD Medical Center ‐ Hillcrest
","3/8/2024
","2024‐0510
","3/8/2024
","3:45 PM
",,"Report Taken
"
"Petty Theft
","Canyonview Rec/ Athletics Administration
","3/8/2024
","2024‐0511
","3/8/2024
","3:37 PM
","Secured bicycle stolen, loss $350.00
","Report Taken
"
"Incomplete/ Accidental Landline 911 Call
","Scholars Drive
","3/8/2024
","2403080064
","3/8/2024
","3:53 PM
",,"Logged Event
"
"Disturbance
","Leichtag Family Foundation
","3/8/2024
","2403080065
","3/8/2024
","4:01 PM
","Group of juveniles trick skating
","Gone On Arrival
"
"Domestic Violence Battery ‐ Aggravated Assault
","UCSD Residential Area
","3/8/2024
","2024‐0512
","3/8/2024
","4:33 PM
","Female called advising she was involved in a domestic violence fight and husband was refusing
","Closed by Adult Arrest
"
"Incomplete/ Accidental Wireless 911 Call
","Miramar Street
","3/8/2024
","2403080068
","3/8/2024
","5:04 PM
",,"Logged Event
"
"Non Injury Collision
","El Paseo Grande/ la Jolla Shores Drive
","3/8/2024
","2403080070
","3/8/2024
","6:10 PM
",,"Information Only
"
"Incomplete/ Accidental Landline 911 Call
","Innovation Lane
","3/8/2024
","2403080071
","3/8/2024
","6:15 PM
",,"Logged Event
"
"Petty Theft ‐ Micro Mobility Device
","Russell Ln
","3/8/2024
","2024‐0513
","3/8/2024
","4:00 PM ‐ 6:15 PM
","Secured electric scooter stolen, loss $550.00
","Report Taken
"
"Found Property
","Trolley ‐ Central Campus Station
","3/8/2024
","2403080073
","3/8/2024
","6:42 PM
","Found cell phone
","Service Provided
"
"Suspicious Person
","Seventh College East
","3/8/2024
","2403080076
","3/8/2024
","7:12 PM
","Female caller requesting phone call from officer regarding a male on the bus that had been
","Service Provided
"
"Incomplete/ Accidental Landline 911 Call
","Gilman Drive
","3/8/2024
","2403080078
","3/8/2024
","7:24 PM
",,"Logged Event
"
"Citizen Assist
","Chancellor House
","3/8/2024
","2403080079
","3/8/2024
","7:43 PM
","Amazon delivery driver stuck behind locked gate
","Service Provided
"
"Security Alarm
","Leichtag Family Foundation Biomedical Research
","3/8/2024
","2403080080
","3/8/2024
","7:44 PM
",,"False Alarm
"
"Illegal Parking
","Innovation Lane
","3/8/2024
","2403080083
","3/8/2024
","8:03 PM
","Five vehicle blocking roadway
","Referred to Other UCSD Department ‐ Parking Enforcement
"
"Medical Aid
","Viento
","3/8/2024
","2403080084
","3/8/2024
","8:42 PM
","Medical transport
","Referred to Other Agency ‐ San Diego Fire Department
"
"Disturbance
","Capa
","3/8/2024
","2403080088
","3/8/2024
","9:11 PM
","Sounds of fighting
","Quiet On Arrival
"
"Suspicious Person
","Price Center
","3/8/2024
","2403080095
","3/8/2024
","11:04 PM
","Unknown adult male followed reporting party from trolley station and up Library Walk, asked
","Gone On Arrival
"
"Alcohol Contact
","Kathmandu House
","3/8/2024
","2403080099
","3/8/2024
","11:17 PM
","Resident Advisor requesting a University Safety Official for an alcohol contact
","Referred to Student Contact
"
"Fire ‐ Non Criminal
","Tuolumne Apartments
","3/8/2024
","2024‐0514
","3/8/2024
","11:30 PM
","Oven fire
","Report Taken
"
"Noise Disturbance
","Catalyst
","2/6/2024
","2402060001
","2/6/2024
","12:06 AM
","Loud music and stomping coming from 5th floor conference room
","Referred to Student Conduct
"
"Suspicious Person
","Visual Arts Facility
","2/6/2024
","2024‐0272
","2/6/2024
","1:20 AM
","Male non‐affiliate contacted after report of a suspicious person walking around in area
","Transported to Hospital
"
"Smoke Check
","TDLLN ‐ Podemos
","2/6/2024
","2024‐0274
","2/6/2024
","03:20 am‐4:17 am
","Electric scooter smoking, strong odor, no fire
","Referred to Other Agency ‐ San Diego Fire Department
"
"Fire Alarm
","Biology Building
","2/6/2024
","2402060010
","2/6/2024
","4:45 AM
",,"False Alarm
"
"Fire Alarm
","Biology Building
","2/6/2024
","2402060011
","2/6/2024
","5:58 AM
",,"False Alarm
"
"Traffic Hazard
","Genesee Avenue/ Regents Road
","2/6/2024
","2402060014
","2/6/2024
","6:42 AM
","Stalled vehicle
","Referred to Other Agency ‐ San Diego Police Department
"
"Suspicious Person
","Torrey Pines Center North Parking
","2/6/2024
","2402060017
","2/6/2024
","7:05 AM
","Report of sleeper inside vehicle, chronic issue
","Gone on Arrival
"
"Incomplete/Accidental Landline 911 Call
","Kaleidoscope
","2/6/2024
","2402060019
","2/6/2024
","7:20 AM
",,"Logged Event
"
"Security Alarm
","Women's Center
","2/6/2024
","2402060020
","2/6/2024
","7:22 AM
",,"False Alarm
"
"Security Alarm
","Laurel
","2/6/2024
","2402060024
","2/6/2024
","8:18 AM
",,"False Alarm
"
"Non Injury Collision
","Scholars Parking
","2/6/2024
","2402060030
","2/6/2024
","10:39 AM
",,"Service Provided
"
"Incomplete/Accidental Landline 911 Call
","North Torrey Pines Road
","2/6/2024
","2402060031
","2/6/2024
","10:45 AM
",,"Logged Event
"
"Noise Disturbance
","Piedra
","2/6/2024
","2402060032
","2/6/2024
","11:03 AM
","Loud music coming from unknown location
","Quiet on Arrival
"
